word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
strite,str2t,0.0872529530218523,0.130344708749617,0.42574257425742573,ove,DROVE,0.43965029264619476
surn,s3n,0.856393278009411,0.807043566858581,0.698019801980198,novowelt,BURNT,0.8858369575689516
sweel,swil,0.760894524948183,0.790879631908687,0.4752475247524752,vowelt,KEPT,0.8596212089806702
swide,sw2d,0.814116225072722,0.933296632694522,0.3564356435643564,ove,DROVE,0.8997543558074822
swite,sw2t,0.643207528474812,0.811709448970805,0.4603960396039604,ove,DROVE,0.8260334646220404
swurn,sw3n,0.974286720816414,0.969718342073599,0.7227722772277227,novowelt,BURNT,0.9566293069007333
teep,tip,0.678038346181718,0.69757679196458,0.5544554455445545,vowelt,KEPT,0.6918730302364551
theel,Til,0.806834544039345,0.726977932433335,0.49504950495049505,vowelt,KEPT,0.8148559963560862
theep,Tip,0.822424872815808,0.629424564834152,0.4158415841584158,vowelt,KEPT,0.7602211600613741
thide,T2d,0.959835287895046,0.78601169608933,0.43564356435643564,ove,DROVE,0.9466424233992815
thim,TIm,0.504032106421209,0.954051667087709,0.7079207920792079,ablaut,SANG,0.5606751130062161
thite,T2t,0.967096073328339,0.855775528072939,0.504950495049505,ove,DROVE,0.944081781537648
thive,T2v,0.793193580507035,0.692050141426928,0.5297029702970297,ove,DROVE,0.7442598401085885
threen,Trin,0.852234568295562,0.898302922026829,0.7029702970297029,vowelt,KEPT,0.8514029264487575
threep,Trip,0.352990058779874,0.525279162552981,0.4207920792079208,vowelt,KEPT,0.5639848012746913
threll,TrEl,0.879731587307303,0.930573474027721,0.6534653465346535,novowelt,BURNT,0.8933309940383758
thride,Tr2d,0.550133436312767,0.39114762763835,0.37623762376237624,ove,DROVE,0.5658828517218625
thrim,TrIm,0.804760143960305,0.976247530099666,0.6831683168316832,ablaut,SANG,0.774794200056153
thring,TrIN,0.457671462643318,0.508733538313256,0.41089108910891087,ablaut,SANG,0.41146396114212375
thrink,TrINk,0.0795354050022996,0.0805712735569002,0.4158415841584158,ablaut,SANG,0.15525284652119606
thurn,T3n,0.853260377419031,0.785896141587128,0.693069306930693,novowelt,BURNT,0.8794659429357525
tive,t2v,0.675411079848189,0.797849961048548,0.5148514851485149,ove,DROVE,0.6963883325244896
treem,trim,0.714158663652809,0.808117674382181,0.6485148514851485,vowelt,KEPT,0.7975213696781435
treen,trin,0.857999124318112,0.902753787775663,0.7227722772277227,vowelt,KEPT,0.8334057355998991
trell,trEl,0.946629932731668,0.933554094324848,0.6782178217821783,novowelt,BURNT,0.9546836322503804
trine,tr2n,0.806822685607804,0.867169469936078,0.6138613861386139,ove,DROVE,0.8082605971781649
trink,trINk,0.187732367754632,0.0941527173398192,0.4900990099009901,ablaut,SANG,0.3117667830868665
trurn,tr3n,0.933850399979751,0.950605577104279,0.7178217821782178,novowelt,BURNT,0.9082229929730465
tweem,twim,0.79585165789746,0.924636745661676,0.6287128712871287,vowelt,KEPT,0.8791172760779381
twell,twEl,0.728269523783308,0.804508714004668,0.5594059405940595,novowelt,BURNT,0.7890382792852779
twide,tw2d,0.954523032541167,0.942555030990314,0.4158415841584158,ove,DROVE,0.9234191677435611
twim,twIm,0.547060958388522,0.548457463444218,0.5396039603960396,ablaut,SANG,0.6297352371601291
twink,twINk,0.658889474418127,0.88667806555388,0.594059405940594,ablaut,SANG,0.7612017000866553
twite,tw2t,0.890265906517893,0.947622101687275,0.44554455445544555,ove,DROVE,0.9003453974590296
vink,vINk,0.628269528481128,0.649221443214292,0.6237623762376238,ablaut,SANG,0.6124091791726302
vreem,vrim,0.718933050854603,0.70343247233125,0.6782178217821783,vowelt,KEPT,0.7653338804766768
vreep,vrip,0.446220037297926,0.525279162552981,0.43564356435643564,vowelt,KEPT,0.6414040618041833
vreeve,vriv,0.798003342508933,0.894807344043328,0.4603960396039604,ove,DROVE,0.7699914857916887
vride,vr2d,0.513541396418981,0.259874167831891,0.37623762376237624,ove,DROVE,0.4912603350669835
vrill,vrIl,0.984070907117062,0.992745825082573,0.7722772277227723,novowelt,BURNT,0.9853233689937229
vrim,vrIm,0.898972886959842,0.976247530099666,0.6336633663366337,ablaut,SANG,0.8844760032609611
vrine,vr2n,0.750355780605792,0.770141128546443,0.6069651741293532,ove,DROVE,0.7978941956955529
vring,vrIN,0.527221558881805,0.508733538313256,0.4306930693069307,ablaut,SANG,0.5777294493895021
vrink,vrINk,0.231482249480931,0.0805712735569002,0.5148514851485149,ablaut,SANG,0.36970277025969356
vrite,vr2t,0.700307174274968,0.566926841459128,0.36633663366336633,ove,DROVE,0.6521773607707129
vurn,v3n,0.754045146085671,0.761216705520134,0.6683168316831684,novowelt,BURNT,0.7888257177367997
yeen,jin,0.706124374046877,0.554265860345049,0.6683168316831684,vowelt,KEPT,0.717017336642683
yeep,jip,0.526893640632267,0.629424564834152,0.48514851485148514,vowelt,KEPT,0.5066289914881698
